Ticker,Filing_Date,Purchase_Value
CVI   ,2025-04-10,11128809.0
CVNA  ,2022-06-14,8577549240.0
CVNA  ,2022-06-15,8577549240.0
DAVE  ,2022-09-30,15329981.0
DAWN  ,2022-06-21,3672000000.0
DAWN  ,2022-06-22,4692002040.0
DAWN  ,2023-10-20,14978327.0
DCPH  ,2023-01-24,29999988.0
DDOG  ,2022-11-09,49999940.0
DDOG  ,2022-11-14,19999978.0
DDOG  ,2022-12-07,13326758.0
DFIN  ,2022-05-11,5369986044.0
DHC   ,2023-06-09,14716574.0
DHC   ,2023-06-14,17937922.0
DHHC  ,2023-01-13,10090000.0
DICE  ,2022-10-19,59860000.0
DICE  ,2023-03-27,13457372.0
DICE  ,2023-03-30,14798693.0
DISH  ,2022-05-16,4954028004.0
DISH  ,2023-03-06,15718000.0
DISH  ,2023-05-15,18586000.0
DLTR  ,2023-12-21,99281877.0
DSGN  ,2023-09-06,14000000.0
DUOL  ,2022-05-11,2103592104.0
DYN   ,2022-12-14,20000034.0
DYN   ,2024-01-11,29999988.0
ECL   ,2022-08-15,31805058.0
ECL   ,2022-08-17,25415286.0
ECL   ,2022-08-19,19653142.0
ECL   ,2022-08-23,10053841.0
EGLE  ,2024-04-05,10654880.0
EL    ,2024-11-15,10045534.0
ELIQ  ,2023-08-02,15625000.0
ELYM  ,2024-07-01,49952817.0
EP    ,2023-12-01,10054656.0
ESAB  ,2022-11-17,20000000.0
ESGR  ,2023-11-08,10223100.0
ESI   ,2022-11-15,17202420.0
ESTE  ,2022-10-11,31205050.0
ET    ,2022-08-11,3550935384.0
ET    ,2022-09-12,29242114.0
ET    ,2022-11-08,14824650.0
ET    ,2022-11-28,16107000.0
ET    ,2023-02-23,17398780.0
ET    ,2023-02-27,21670856.0
ET    ,2023-05-17,12490000.0
ET    ,2023-08-21,38892500.0
ET    ,2023-11-08,13530000.0
ET    ,2023-11-09,13330000.0
ET    ,2024-08-13,47040000.0
ET    ,2025-08-21,34681000.0
ETNB  ,2023-03-30,39999993.0
ETNB  ,2024-03-06,20722500.0
ETNB  ,2025-02-03,49999994.0
ETTX  ,2022-07-13,8648589588.0
EVA   ,2022-10-12,10137897.0
EVA   ,2022-12-02,12528167.0
EVGO  ,2023-05-24,24999996.0
EVLO  ,2022-06-01,8159999592.0
EVLO  ,2023-07-13,12499999.0
EWTX  ,2025-04-04,20000000.0
EXPR  ,2023-02-03,25000002.0
EYPT  ,2023-12-06,41874151.0
EYPT  ,2024-01-11,17051100.0
EYPT  ,2024-04-22,10489446.0
EYPT  ,2024-05-08,10081721.0
FBSPX ,2023-05-02,25000000.0
FDMT  ,2023-05-11,13600000.0
FG    ,2025-03-28,151200000.0
FISV  ,2022-05-04,2179407072.0
FISV  ,2022-05-10,9610846572.0
FISV  ,2022-06-14,18754060068.0
FLCX  ,2023-10-18,12127500.0
FLYX  ,2024-03-06,25000000.0
FOA   ,2023-04-04,60000004.0
FOUR  ,2025-08-11,16266182.0
FPH   ,2024-10-24,10341526.0
FRSH  ,2022-09-13,23015363.0
FRSH  ,2022-09-21,23123044.0
FRSH  ,2022-12-07,24850800.0
FSR   ,2023-03-28,10253903.0
FSUN  ,2025-03-13,38003177.0
FULC  ,2022-12-16,13073874.0
FULC  ,2023-01-24,24999988.0
FVR   ,2024-10-08,15494579.0
FYBR  ,2023-03-29,132035500.0
GBTG  ,2022-06-01,4080000000.0
GIM   ,2022-10-07,12670738.0
GLG   ,2022-11-30,23000000.0
GLG   ,2023-02-01,12100000.0
GME   ,2023-06-13,10000392.0
GME   ,2025-04-07,10775000.0
GRBK  ,2024-11-15,70346993.0
GRIL  ,2023-07-18,27629010.0
GRNA  ,2022-08-15,62749996.0
GRND  ,2025-10-14,13150000.0
GROV  ,2022-06-21,13609908960.0
GRPN  ,2022-05-11,4820418816.0
GRPN  ,2022-12-22,48899512.0
GTES  ,2024-02-20,12200000.0
GTLB  ,2022-05-12,2346146268.0
GTLB  ,2022-11-08,17090059.0
GTLB  ,2022-12-29,29029723.0
GTLB  ,2023-02-02,33029798.0
GTLB  ,2023-03-15,18988146.0
GTLB  ,2023-05-05,19473993.0
GWRS  ,2025-03-31,11872000.0
HARP  ,2023-03-27,10000000.0
HARP  ,2024-03-11,492135715.0
HCA   ,2022-05-04,3852132204.0
HCP   ,2022-05-10,6346861464.0
HHC   ,2022-11-30,109214243.0
HHC   ,2022-12-07,49454688.0
HHH   ,2023-11-09,13742952.0
HHH   ,2023-11-14,11469255.0
HHH   ,2023-11-17,14986272.0
HHH   ,2023-11-22,12732845.0
HHH   ,2023-11-28,12048717.0
HHH   ,2023-12-01,10749231.0
HLLY  ,2022-08-08,2244000000.0
HLVX  ,2022-05-03,6120000408.0
HLXB  ,2024-02-13,24000000.0
HPK   ,2022-08-24,50000008.0
HPK   ,2023-07-21,80996685.0
HRT   ,2022-06-16,2492627040.0
HRT   ,2022-06-21,4537237848.0
HSAQ  ,2022-07-25,2042040000.0
HSAQ  ,2023-01-26,18085120.0
HUBG  ,2022-08-11,3358764528.0
HYEX  ,2025-08-22,23536656.0
HYMC  ,2025-06-17,22225000.0
