Ticker,Future_Log_Return
CDTX  ,0.00856001312084709
MTSR  ,0.004490837352950762
HYMC  ,0.004400180427449497
SLNO  ,0.004219162365115869
COGT  ,0.0041536100728706065
PPTA  ,0.004124829606320666
SATS  ,0.003760699978902674
NEGG  ,0.003665571273294539
SION  ,0.0033910763251386723
PSNL  ,0.003030161913630982
